Ticketid,Category,Subcategory_1,Subcategory_2,Subcategory_3
94074,Segnalazioni,Animali,Insetti,Zanzara tigre
94076,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
94077,Segnalazioni,Arredo urbano,Giochi bimbi,Danneggiati
94080,Segnalazioni,Verde pubblico,Alberi/rami,Invadenti
94081,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
94082,Segnalazioni,,,
94083,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Danneggiata
94087,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
94088,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
94090,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Dissestati
94091,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
94092,Segnalazioni,Arredo urbano,Gazebo/pergolati,Danneggiati/incuria
94093,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
94095,Segnalazioni,Viabilità e traffico,Segnaletica ai sensi del CdS,Danneggiata
94096,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Dissestati
94097,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Carenti
94099,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Discarica abusiva
94101,Segnalazioni,Degrado sociale,Segnalazioni,Senza fissa dimora
94102,Segnalazioni,Verde pubblico,Vegetazione spontanea,
94103,Segnalazioni,Microcriminalità,Furti/rapine,
94104,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
94105,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
94107,Segnalazioni,Verde pubblico,Aree verdi,Danneggiate
94108,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
94109,Segnalazioni,Attività produttive,,
94111,Segnalazioni,Animali,Cani,Presenze
94112,Segnalazioni,Arredo urbano,Contenitori rifiuti,Maleodoranti/stracolmi
94116,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Danneggiata
94117,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
94118,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti ingombranti
94119,Segnalazioni,,,Allagamenti
